STATION,NAME,DATE,DAPR,MDPR,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00280907,"BOONTON 1 SE, NJ US",8/1/19,,,5.1,,0,0,,30.6,18.3,20
USC00280907,"BOONTON 1 SE, NJ US",8/2/19,,,0,,0,0,,30,18.9,22.8
USC00280907,"BOONTON 1 SE, NJ US",8/3/19,,,0,,0,0,,29.4,18.9,21.1
USC00280907,"BOONTON 1 SE, NJ US",8/4/19,,,11.7,,0,0,,30.6,20,21.1
USC00280907,"BOONTON 1 SE, NJ US",8/5/19,,,0.5,,0,0,,31.1,17.2,18.9
USC00280907,"BOONTON 1 SE, NJ US",8/6/19,,,0,,0,0,,28.9,18.3,20
USC00280907,"BOONTON 1 SE, NJ US",8/7/19,,,11.2,,0,0,,27.8,14.4,21.1
USC00280907,"BOONTON 1 SE, NJ US",8/8/19,,,21.3,,0,0,,29.4,18.9,19.4
USC00280907,"BOONTON 1 SE, NJ US",8/9/19,,,4.8,,0,0,,29.4,19.4,19.4
USC00280907,"BOONTON 1 SE, NJ US",8/10/19,,,2.5,,0,0,,28.3,17.2,17.8
USC00280907,"BOONTON 1 SE, NJ US",8/11/19,,,0,,0,0,,26.7,13.9,16.1
USC00280907,"BOONTON 1 SE, NJ US",8/12/19,,,0,,0,0,,26.7,13.9,13.9
USC00280907,"BOONTON 1 SE, NJ US",8/13/19,,,0,,0,0,,29.4,13.9,21.7
USC00280907,"BOONTON 1 SE, NJ US",8/14/19,,,0.5,,0,0,,26.1,19.4,20.6
USC00280907,"BOONTON 1 SE, NJ US",8/15/19,,,0,,0,0,,27.2,18.9,20
USC00280907,"BOONTON 1 SE, NJ US",8/16/19,,,0,,0,0,,30,17.8,18.3
USC00280907,"BOONTON 1 SE, NJ US",8/17/19,,,0,,0,0,,27.2,18.3,22.2
USC00280907,"BOONTON 1 SE, NJ US",8/18/19,,,7.4,,0,0,,31.1,21.1,22.2
USC00280907,"BOONTON 1 SE, NJ US",8/19/19,,,1.8,,0,0,,32.8,20,20.6
USC00280907,"BOONTON 1 SE, NJ US",8/20/19,,,0,,0,0,,33.3,19.4,19.4
USC00280907,"BOONTON 1 SE, NJ US",8/21/19,,,0,,0,0,,32.2,19.4,22.2
USC00280907,"BOONTON 1 SE, NJ US",8/22/19,,,5.3,,0,0,,30,21.1,21.7
USC00280907,"BOONTON 1 SE, NJ US",8/23/19,,,41.1,,0,0,,31.7,17.8,17.8
USC00280907,"BOONTON 1 SE, NJ US",8/24/19,,,2.8,,0,0,,23.3,13.9,17.2
USC00280907,"BOONTON 1 SE, NJ US",8/25/19,,,0.5,,0,0,,23.3,15,16.7
USC00280907,"BOONTON 1 SE, NJ US",8/26/19,,,0,,0,0,,24.4,13.3,14.4
USC00280907,"BOONTON 1 SE, NJ US",8/27/19,,,0,,0,0,,23.9,12.8,12.8
USC00280907,"BOONTON 1 SE, NJ US",8/28/19,,,0,,0,0,,23.9,12.8,17.8
USC00280907,"BOONTON 1 SE, NJ US",8/29/19,,,2.3,,0,0,,26.1,17.2,18.3
USC00280907,"BOONTON 1 SE, NJ US",8/30/19,,,0,,0,0,,26.7,12.8,12.8
USC00280907,"BOONTON 1 SE, NJ US",8/31/19,,,0,,0,0,,28.9,12.8,16.7
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/4/19,12,58.4,,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/6/19,,,10.2,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/7/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/8/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/9/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/10/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/11/19,,,10.9,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/12/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/13/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/14/19,,,23.6,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/15/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/16/19,,,0.5,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/17/19,,,8.6,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/18/19,,,1,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/19/19,,,46.5,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/20/19,,,6.4,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/21/19,,,2.3,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/22/19,,,4.3,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/23/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/24/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/29/19,5,12.4,,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",6/30/19,,,5.3,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/1/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/2/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/3/19,,,0.5,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/4/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/5/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/6/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/8/19,,,0.8,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/9/19,,,4.8,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/10/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/11/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/12/19,,,34.3,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/13/19,,,0,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/14/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/15/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/16/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/17/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/18/19,,,39.4,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/19/19,,,8.4,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/20/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/21/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/22/19,,,19.3,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/23/19,,,70.1,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/24/19,,,6.6,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/25/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/26/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/27/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/28/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/29/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",7/31/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",8/1/19,,,0.8,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",8/2/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",8/3/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",8/4/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",8/5/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",8/6/19,,,0,,0,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",8/7/19,,,16.3,,,,,,,
US1NJMD0086,"HIGHLAND PARK 0.4 N, NJ US",8/8/19,,,71.9,,,,,,,
